DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
02.12:51:08,490,0.0,1.3774,0.0,33826,14953,8618,6335,1.3111,0.0,33985,29835,33.625,95.431,84.2,49022,46282,32942,525,0,0,19781,182.8,0.0
02.12:51:18,500,0.0,1.3788,0.0,33272,14943,8604,6339,1.3097,0.0,34053,29863,33.656,95.431,84.2,49038,46282,32994,511,0,0,19781,179.7,0.0
02.12:51:28,510,0.0,1.3795,0.0,33130,14955,8596,6359,1.3097,0.0,33985,29812,33.625,95.431,84.2,49025,46266,32892,526,0,0,19781,182.8,0.0
02.12:51:38,520,0.0,1.3788,0.0,33375,14977,8618,6359,1.3097,0.0,34050,29794,33.656,95.43,84.2,49035,46273,32967,527,0,0,19781,182.8,0.0
02.12:51:48,530,0.0,1.3781,0.0,33290,14950,8601,6349,1.3097,0.0,34020,29783,33.625,95.431,84.2,49034,46281,32992,535,0,0,19781,179.7,0.0
02.12:51:58,540,0.0,1.3788,0.0,33316,14920,8590,6330,1.3111,0.0,34026,29798,33.656,95.431,84.2,49024,46273,33022,537,0,0,19781,176.6,0.0
02.12:52:08,550,0.0,1.3788,0.0,33069,14960,8621,6339,1.3097,0.0,34006,29829,33.625,95.431,84.2,49026,46273,32926,544,0,0,19781,179.7,0.0
02.12:52:18,560,0.0,1.3788,0.0,33262,14963,8620,6343,1.3097,0.0,34045,29840,33.625,95.431,84.2,49038,46281,33006,535,0,0,19781,179.7,0.0
02.12:52:28,570,0.0,1.3781,0.0,33297,14947,8590,6357,1.3097,0.0,34048,29815,33.625,95.431,84.2,49033,46273,32970,520,0,0,19781,182.8,0.0
02.12:52:38,580,0.0,1.3788,0.0,33242,14942,8607,6335,1.3097,0.0,34035,29811,33.625,95.431,84.2,49027,46273,32960,526,0,0,19781,176.6,0.0
